Xact CAT, Xact Category Name,Xact SEL,Xact Description,Xact Unit,Xact Activity
WTR,Water Extraction & remediation,EXTWPC,"2"" Submersible pump with hose (per hour)",HR,+
WTR,Water Extraction & remediation,EXTWPT,"2"" Submersible trash pump with hose (per hour)",HR,+
WTR,Water Extraction & remediation,MA5,Adapter for ducted drying- 5 ports (per 24 hrs)- No monit.,EA,+
WTR,Water Extraction & remediation,MA9,Adapter for ducted drying- 9 ports (per 24 hrs)- No monit.,EA,+
WTR,Water Extraction & remediation,FHEPAC,Add for HEPA filter - large cylinder,EA,+
WTR,Water Extraction & remediation,FHEPA<,Add for HEPA filter (for canister/backpack vacuums),EA,+
WTR,Water Extraction & remediation,FHEPA>,Add for HEPA filter (for neg. air machine/vacuum - Large),EA,+
WTR,Water Extraction & remediation,FHEPA,Add for HEPA filter (for negative air exhaust fan),EA,+
WTR,Water Extraction & remediation,FHEPA<<,Add for HEPA filter (for upright vacuums),EA,+
WTR,Water Extraction & remediation,PPE+,Add for personal protective equipment - Heavy duty,EA,+
WTR,Water Extraction & remediation,PPE,Add for personal protective equipment (hazardous cleanup),EA,+
WTR,Water Extraction & remediation,FCWGC,Add for tear out wd flr glued down over concrete substrate,SF,-
WTR,Water Extraction & remediation,FCWGCA,Add for tear out wd flr glued down over concrete-after hrs,SF,-
WTR,Water Extraction & remediation,FCWGW,Add for tear out wood floor glued down over wood substrate,SF,-
WTR,Water Extraction & remediation,FCWGWA,Add for tear out wood floor glued down over wood-after hrs,SF,-
WTR,Water Extraction & remediation,DRYWH,Add for wet drywall on high walls - 11' to 14' high,SF,-
WTR,Water Extraction & remediation,DRYWH>,Add for wet drywall on high walls - 14' to 20' high,SF,-
WTR,Water Extraction & remediation,DRYWHA,Add for wet drywall on high walls- 11' to 14' high-aft hrs,SF,-
WTR,Water Extraction & remediation,DRYWHA>,Add for wet drywall on high walls- 14' to 20' high-aft hrs,SF,-
WTR,Water Extraction & remediation,SBCS,Add on - Confined space blasting,SF,+
WTR,Water Extraction & remediation,FLD,Add on to tear out floor drain - tub/shower- metal/plastic,EA,-
WTR,Water Extraction & remediation,BMUD,Add on to tear out mortar bed for tile,SF,-
WTR,Water Extraction & remediation,SWRPMD,Add on to tear out shower drain-for use w/ wtrprf membrane,EA,-
WTR,Water Extraction & remediation,SWRCC,Add on to tear out tile concrete shower curb - per LF,LF,-
WTR,Water Extraction & remediation,SWRCF,Add on to tear out tile framed shower curb - per LF,LF,-
WTR,Water Extraction & remediation,DRYWG,Add-on cost for tearing out glued-on drywall,SF,-
WTR,Water Extraction & remediation,DRYWGA,Add-on cost for tearing out glued-on drywall - after hours,SF,-
WTR,Water Extraction & remediation,TRIMTA,Add-on for tear out trim/base from tile/grout - after hrs,LF,-
WTR,Water Extraction & remediation,TRIMT,Add-on for tearing out trim/base from tile/grout,LF,-
WTR,Water Extraction & remediation,DRY,Air mover (per 24 hour period) - No monitoring,EA,+
WTR,Water Extraction & remediation,DRY+,Air mover axial fan-up to 1/2 (per 24 hr period)-No monit.,EA,+
WTR,Water Extraction & remediation,DRYSA,"Air mover snout adapter 48"" (per 24 hr period) - No monit.",EA,+
WTR,Water Extraction & remediation,GRM,Apply anti-microbial agent to {V},SF,+
WTR,Water Extraction & remediation,GRMA,Apply anti-microbial agent to {V} - after hours,SF,+
WTR,Water Extraction & remediation,GRMBIOA,Apply bio cleaning agent (spore-based) to {V} - after hrs,SF,+
WTR,Water Extraction & remediation,GRMBIO,Apply biological cleaning agent (spore-based) to {V},SF,+
WTR,Water Extraction & remediation,GRMS,Apply mold/mildew stain remover to {V},SF,+
